
         3314089 function calls (3311464 primitive calls) in 20.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 terminal.py:29(_load_library)
        3    0.000    0.000    0.006    0.002 __init__.py:332(__init__)
        2    0.006    0.003    0.006    0.003 {built-in method _ctypes.LoadLibrary}
      435    0.003    0.000    0.006    0.000 unnamed.py:494(get_names_under_mouse)
        1    0.000    0.000    0.006    0.006 shelve.py:57(<module>)
       25    0.000    0.000    0.006    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.006    0.006 __init__.py:28(<module>)
        1    0.000    0.000    0.006    0.006 threading.py:1(<module>)
        1    0.000    0.000    0.005    0.005 hashlib.py:54(<module>)
       18    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
   182/25    0.001    0.000    0.005    0.000 sre_compile.py:64(_compile)
      191    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:146(__enter__)
        1    0.000    0.000    0.005    0.005 unnamed.py:507(make_map)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
     1836    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
      298    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
       25    0.000    0.000    0.004    0.000 sre_parse.py:845(parse)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
        9    0.000    0.000    0.004    0.000 __init__.py:359(namedtuple)
        1    0.000    0.000    0.004    0.004 runner.py:1(<module>)
      387    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
        5    0.004    0.001    0.004    0.001 {built-in method io.open}
        1    0.000    0.000    0.004    0.004 unnamed.py:513(<listcomp>)
        1    0.000    0.000    0.004    0.004 __init__.py:88(<module>)
        1    0.000    0.000    0.004    0.004 shelve.py:137(__exit__)
        1    0.000    0.000    0.004    0.004 shelve.py:140(close)
        3    0.000    0.000    0.004    0.001 dumb.py:113(_commit)
      310    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:389(cached)
    80/25    0.000    0.000    0.004    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.004    0.004 color.py:3(<module>)
    87/27    0.001    0.000    0.004    0.000 sre_parse.py:469(_parse)
     3798    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.004    0.004 linecache.py:6(<module>)
        1    0.001    0.001    0.003    0.003 color.py:108(_import_colors)
      125    0.002    0.000    0.003    0.000 unnamed.py:673(player_move_or_attack)
      161    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
      188    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:57(__init__)
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
        1    0.000    0.000    0.003    0.003 dumb.py:296(open)
        1    0.000    0.000    0.003    0.003 dumb.py:48(__init__)
      149    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.003    0.003 dumb.py:73(_create)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       18    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
      273    0.001    0.000    0.003    0.000 function_base.py:4361(add_newdoc)
      384    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.003    0.003 signals.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
        2    0.000    0.000    0.002    0.001 dumb.py:277(close)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.001    0.001    0.002    0.002 libtcod.py:19(_import_library_functions)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
      435    0.002    0.000    0.002    0.000 unnamed.py:501(<listcomp>)
       68    0.000    0.000    0.002    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
     3440    0.002    0.000    0.002    0.000 unnamed.py:41(__init__)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:56(<module>)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
     1448    0.000    0.000    0.002    0.000 enum.py:265(__call__)
     1836    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      652    0.001    0.000    0.002    0.000 enum.py:801(__and__)
       68    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
      161    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 dumb.py:22(<module>)
      126    0.002    0.000    0.002    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.002    0.002 event.py:32(<module>)
        4    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      298    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
    10659    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2571    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 _distributor_init.py:2(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
     2745    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
        1    0.000    0.000    0.001    0.001 shelve.py:164(sync)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      161    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     8374    0.001    0.000    0.001    0.000 {built-in method _ctypes.byref}
        2    0.001    0.001    0.001    0.001 {built-in method nt.rename}
        1    0.000    0.000    0.001    0.001 gnu.py:1(<module>)
      387    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:77(acquire)
        1    0.000    0.000    0.001    0.001 ndbm.py:1(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
      175    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(__exit__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        3    0.000    0.000    0.001    0.000 dumb.py:285(_chmod)
       10    0.000    0.000    0.001    0.000 textwrap.py:368(wrap)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        3    0.001    0.000    0.001    0.000 {built-in method nt.chmod}
        2    0.000    0.000    0.001    0.000 enum.py:602(_convert)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(create_module)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        3    0.000    0.000    0.001    0.000 unnamed.py:161(attack)
       15    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1446    0.001    0.000    0.001    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        6    0.000    0.000    0.001    0.000 unnamed.py:855(message)
      387    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:102(release)
     1388    0.001    0.000    0.001    0.000 unnamed.py:183(take_turn)
        1    0.000    0.000    0.001    0.001 event.py:50(_parseKeyNames)
     1956    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
     3992    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:153(__exit__)
       10    0.000    0.000    0.001    0.000 textwrap.py:342(wrap)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 wintypes.py:2(<module>)
      124    0.000    0.000    0.001    0.000 unnamed.py:83(move)
      126    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_map_new}
      298    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
        2    0.000    0.000    0.001    0.000 enum.py:364(_create_)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      126    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_map_compute_fov}
       25    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
      282    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      902    0.000    0.000    0.001    0.000 sre_parse.py:253(get)
  316/159    0.000    0.000    0.001    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:698(find_spec)
        1    0.001    0.001    0.001    0.001 parse.py:165(_NetlocResultMixinStr)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
3069/2974    0.000    0.000    0.001    0.000 {built-in method builtins.len}
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      102    0.000    0.000    0.000    0.000 re.py:169(match)
      781    0.000    0.000    0.000    0.000 sre_parse.py:163(__getitem__)
      266    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
       10    0.000    0.000    0.000    0.000 textwrap.py:336(_split_chunks)
       51    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x000000001D643430}
        2    0.000    0.000    0.000    0.000 enum.py:124(__new__)
     1207    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      126    0.000    0.000    0.000    0.000 map.py:17(_get_fov_type)
       43    0.000    0.000    0.000    0.000 core.py:113(get_object_signature)
      147    0.000    0.000    0.000    0.000 unnamed.py:278(is_blocked)
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
     1107    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
      218    0.000    0.000    0.000    0.000 random.py:216(randint)
       26    0.000    0.000    0.000    0.000 core.py:6369(__init__)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
       26    0.000    0.000    0.000    0.000 core.py:6374(getdoc)
       71    0.000    0.000    0.000    0.000 enum.py:795(__or__)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
      197    0.000    0.000    0.000    0.000 color.py:47(_new_from_cdata)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
       19    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:838(__exit__)
       10    0.000    0.000    0.000    0.000 unnamed.py:307(place_objects)
      439    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
      218    0.000    0.000    0.000    0.000 random.py:172(randrange)
      177    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      299    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
     1837    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       55    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
       25    0.000    0.000    0.000    0.000 sre_parse.py:829(fix_flags)
       10    0.000    0.000    0.000    0.000 textwrap.py:160(_split)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       43    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
     3192    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      298    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       31    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       21    0.000    0.000    0.000    0.000 ntpath.py:240(dirname)
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(spec_from_loader)
       43    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       21    0.000    0.000    0.000    0.000 ntpath.py:199(split)
      126    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       29    0.000    0.000    0.000    0.000 style.py:9(backport)
      106    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      197    0.000    0.000    0.000    0.000 color.py:19(__init__)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
      218    0.000    0.000    0.000    0.000 random.py:222(_randbelow)
      911    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      418    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.000    0.000 abc.py:151(register)
    98/85    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       10    0.000    0.000    0.000    0.000 textwrap.py:146(_munge_whitespace)
       68    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
       10    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       10    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
      514    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      173    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 path.py:2(<module>)
      775    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
       31    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
        3    0.000    0.000    0.000    0.000 enum.py:758(_missing_)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
     12/7    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
      103    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 enum.py:765(_create_pseudo_member_)
       13    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
      473    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      381    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:623(<listcomp>)
        9    0.000    0.000    0.000    0.000 extras.py:236(__init__)
       91    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
      282    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
